# List created using the lists from:
# http://www.ncbi.nlm.nih.gov/books/NBK3827/table/pubmedhelp.pubmedhelptable45/
Brevia	Brevia. (Rome).
Dens sapiens	Dens. Sapiens.
Il Bassini	Bassini.
Laboratorio; analisis clinicos, bacteriologia, inmunologia, parasitologia, hematologia, anatomia patologica, quimica clinica	Laboratorio.
'Adiyat Halab	Adiyat. Halab
'Alam al-fikr	Alam. Al. Firkr.
'Iraq (1977)	Iraq.
'Ulum va tiknuluzhi-i khalij-i fars	Ulum. Va Tiknuluzhii. Khaliji. Fars
1199 news. National Union of Hospital and Health Care Employees. District 1199	1199 News.
1999, Zeitschrift fur Sozialgeschichte des 20. und 21. Jahrhunderts	1999. Z. Sozial. 20. 21. Jhd.
19th century music	19th Century Music
20 century British history	20 Century Br. Hist.
21st century science & technology	21st Century Sci. Technol.
<Le > Bulletin trimestriel du planning familial	Bull. Trimest. Plan. Fam.
A Crianca portuguesa	Crianca Port.
A Current bibliography on African affairs	Curr. Bibliogr. Afr. Aff.
A Journal of Church and State	J. Church State
A Pediatria; revista mensal de clinica, patologia e higiene infantil	Pediatria. (Rio).
A common place	Common Place
A journal of Jewish medical ethics and halacha	J. Jew. Med. Ethics Halacha
A report of the ... National Forum on Hospital and Health Affairs / conducted by the Graduate Program in Hospital Administration of Duke University. National Forum on Hospital and Health Affairs	Rep. Natl. Forum Hosp. Health Aff.
A&M : advertising and marketing	A. M.
A.A.G. bijdragen / Afdeling Agrarische Geschiedenis, Landbouwhogeschool	A. A. G. Bijdr.
A.I.D. evaluation news	AID. Eval. News
A.M.A. American journal of diseases of children	AMA. Am. J. Dis. Child.
A.M.A. archives of dermatology	AMA. Arch. Derm.
A.M.A. archives of dermatology and syphilology	AMA. Arch. Derm. Syphilol.
A.M.A. archives of general psychiatry	AMA. Arch. Gen. Psychiatry
A.M.A. archives of industrial health	AMA. Arch. Ind. Health
A.M.A. archives of industrial hygiene and occupational medicine	AMA. Arch. Ind. Hyg. Occup. Med.
A.M.A. archives of internal medicine	AMA. Arch. Intern. Med.
A.M.A. archives of neurology	AMA. Arch. Neurol.
A.M.A. archives of neurology and psychiatry	AMA. Arch. Neurol. Psychiatry
A.M.A. archives of ophthalmology	AMA. Arch. Ophthalmol.
A.M.A. archives of otolaryngology	AMA. Arch. Otolaryngol.
A.M.A. archives of pathology	AMA. Arch. Pathol.
A.M.A. archives of surgery	AMA. Arch. Surg.
A.M.A. journal of diseases of children	AMA. J. Dis. Child.
A.R.A.G. national newsletter / Abortion Reform Action Group	ARAG. Natl. Newsl.
A.W.R. Bulletin. Association for the Study of the World Refugee Problem	AWR. Bull.
AA : l'architecture d'aujourd'hui	Archit. Aujourdhui.
AACN advanced critical care	AACN Adv. Crit. Care
AACN clinical issues	AACN Clin. Issues
AACN clinical issues in critical care nursing	AACN Clin. Issues Crit. Care Nurs.
AAHS journal / American Aviation Historical Society	AAHS J.
AANNT journal / the American Association of Nephrology Nurses and Technicians	AANNT J.
AAOHN journal : official journal of the American Association of Occupational Health Nurses	AAOHN J.
AAPG bulletin	Am. Assoc. Pet. Geol. Bull.
AAPI nexus : Asian Americans and Pacific Islanders, policy practice and community	AAPI Nexus
AAPPO journal : the journal of the American Association of Preferred Provider Organizations	AAPPO J.
AAPS pharmSci	AAPS PharmSci
AARCTimes	AARC. Times.
AARN news letter	AARN News Lett.
AAUP bulletin : quarterly publication of the American Association of University Professors	AAUP Bull.
AB bookman's weekly : for the specialist book world	AB Bookm. Wkly.
ABC decor	ABC Decor
ACM queue : tomorrow's computing today	ACM Queue
ACM transactions on computer-human interaction : a publication of the Association for Computing Machinery	ACM Trans. Comput. Hum. Interact.
ACM transactions on knowledge discovery from data	ACM Trans. Knowl. Discov. Data
ACM transactions on mathematical software. Association for Computing Machinery	ACM Trans. Math. Softw.
ACM transactions on reconfigurable technology and systems	ACM Trans. Reconfigurable Technol. Syst.
ACOG nurses bulletin	Acog Nurse. Bull.
ACP journal club	ACP J. Club
ACRH [reports]. U.S. Atomic Energy Commission	ACRH Rep.
ACS applied materials & interfaces	ACS Appl. Mater. Interfaces
ACS macro letters	ACS Macro Lett.
ACS nano	ACS Nano
ACSM's health & fitness journal	ACSMs. Health Fit. J.
AD nurse	AD Nurse
ADA news	ADA News
ADM (Asociacion Dental Mexicana : 1986)	ADM
ADM; revista de la Asociacion Dental Mexicana	ADM.
AER journal : research and practice in visual impairment and blindness	AER J.
AFRO technical papers	Afro Tech. Pap.
AHP journal / Association for Healthcare Philanthropy	AHP J.
AHRQ WebM&M : morbidity & mortality rounds on the Web	AHRQ WebM&M
AIA journal. American Institute of Architects	AIA J.
AIAA student journal. American Institute of Aeronautics and Astronautics	AIAA Stud. J.
AICC economic review. Indian National Congress. All India Congress Committee	AICC Econ. Rev.
AIChE journal. American Institute of Chemical Engineers	AIChE J.
AIDS & public policy journal	AIDS Public Policy J.
AIDS (London, England)	AIDS
AIDS Action policy brief	AIDS Action Policy Brief
AIDS Institute newsletter. New York (State). AIDS Institute	AIDS Inst. Newsl.
AIDS action	AIDS Action
AIDS action update / AIDS Action Foundation	AIDS Action Update
AIDS alert	AIDS Alert
AIDS analysis Africa	AIDS Anal. Afr.
AIDS care	AIDS Care
AIDS clinical care	AIDS Clin. Care
AIDS education and prevention : official publication of the International Society for AIDS Education	AIDS Educ. Prev.
AIDS health promotion exchange / World Health Organization, Global Programme on AIDS, Health Promotion Unit	AIDS Health Promot. Exch.
AIDS information exchange / the United States Conference of Mayors	AIDS Inf. Exch.
AIDS patient care	AIDS Patient Care
AIDS patient care and STDs	AIDS Patient Care STDS
AIDS policy & law	AIDS Policy Law
AIDS research and human retroviruses	AIDS Res. Hum. Retroviruses
AIDS treatment news	AIDS Treat. News
AIDS updates	AIDS Updates
AIDS weekly plus	AIDS Wkly. Plus
AIDS-Forschung : AIFO = Acquired immune deficiency syndrome research	AIDS. Forsch.
AIDS/STD health promotion exchange	AIDS. STD. Health Promot. Exch.
AIDSED newsletter : newsletter of the WHO/Unesco AIDS Education and Health Promotion Materials Exchange Centre for Asia and the Pacific	AIDSED Newsl.
AIDSlink : Eastern, Central & Southern Africa	AIDSlink
AIDoS news : bimonthly bulletin of the Italian Association for Women in Development. Associazione italiana donne per lo sviluppo	Aidos News
AIHA journal : a journal for the science of occupational and environmental health and safety	AIHA J. (Fairfax,. Va).
AIHAJ : a journal for the science of occupational and environmental health and safety	AIHAJ
AIPLA quarterly journal / American Intellectual Property Law Association	AIPLA Q. J.
AJP reports	AJP Rep.
AJS review. Association for Jewish Studies	AJS Rev.
AJS; American journal of sociology	AJS.
ALAFO; revista de la Asociacion Latinoamericana de Facultades de Odontologia	ALAFO.
ALTEX	ALTEX
AM [reports]. United States. Office of Aviation Medicine	AM Rep.
AMB : revista da Associacao Medica Brasileira	AMB Rev. Assoc. Med. Bras.
AMD-TR [reports]. United States. Aerospace Medical Division	AMD. TR. Rep.
AMHC forum	AMHC Forum
AMIA ... Annual Symposium proceedings / AMIA Symposium. AMIA Symposium	AMIA Annu. Symp. Proc.
AMIA Summits on Translational Science proceedings AMIA Summit on Translational Science	AMIA Summits Transl. Sci. Proc.
AMIF	Amif
AMRL-TR. Aerospace Medical Research Laboratories (6570th)	AMRL. TR.
AMRO	AMRO
AN. Arkansas nurse	AN. Ark. Nurse
ANEC	ANEC
ANL	ANL Rep.
ANNA journal / American Nephrology Nurses' Association	ANNA J.
ANQ	ANQ
ANZHES journal. Australian and New Zealand History of Education Society	Anzhes J.
AOHA : a publication of the American Osteopathic Hospital Association	AOHA
AOHA today	AOHA Today
APDI newsletter. United Nations Asian and Pacific Development Institute	APDI Newsl.
APIC	APIC
APMIS : acta pathologica, microbiologica, et immunologica Scandinavica	APMIS
APSP journal of case reports	APSP J. Case Rep.
AQ (Balmain, N.S.W.)	AQ
ARKIVOC : free online journal of organic chemistry / Arkat-USA, Inc	ARKIVOC
ARN journal : the official journal of the Association of Rehabilitation Nurses	ARN J.
ARTnews	ARTnews
ASAIO journal (American Society for Artificial Internal Organs : 1992)	ASAIO J.
ASAIO transactions / American Society for Artificial Internal Organs	ASAIO Trans.
ASCILITE ... annual conference / Australian Society for Computers in Learning in Tertiary Education	ASCILITE Annu. Conf.
ASDA news (American Student Dental Association : 1981)	ASDA News
ASGSB bulletin : publication of the American Society for Gravitational and Space Biology	ASGSB Bull.
ASHA	ASHA
ASHA leader / American Speech-Language-Hearing Association	ASHA Lead.
ASM news	ASM News
ASN neuro	ASN Neuro
ASNA reporter	ASNA Rep.
AUAA journal : official journal of the American Urological Association Allied	AUAA J.
AV communication review	Av Commun. Rev.
AVISO (Ottawa, Ont.)	AVISO
AVS news / Association for Voluntary Sterilization	AVS News
AVSC news (Association for Voluntary Surgical Contraception (U.S.))	AVSC News
AWHONN lifelines / Association of Women's Health, Obstetric and Neonatal Nurses	AWHONN Lifelines
AWHONN voice / Association of Women's Health, Obstetric, and Neonatal Nurses (AWHONN)	AWHONN Voice
AWHONN's clinical issues in perinatal and women's health nursing	AWHONNS. Clin. Issues Perinat. Womens. Health Nurs.
Aachener Kunstblatter (DuMont Buchverlag)	Aachen. Kunstbl.
Aarsberetning - Kobenhavns universitets medicinsk-historiske institut og museum	Arsberet. Kbh. Univ. Med. Hist. Inst. Mus.
Aarsberetning - Kobenhavns universitets medicinsk-historiske museum	Arsberet. Kobenhavns Univ. Med. Hist. Mus.
Aastaraamat - Eesti Teadusliku Seltsi Rootsis. Annales - Societatis Litterarum Estonicae in Svecia. Eesti Teaduslik Selts Rootsis	Aastaraam. Eesti Tead. Seltsi Rootsis
Abbottempo	Abbottempo
Abdominal imaging	Abdom. Imaging
Abhandlungen und Berichte (Deutsches Museum (Germany))	Abh. Ber. Dtsch. Mus.
Abhandlungen und Berichte des Staatlichen Museums fur Volkerkunde, Dresden. Staatliches Museum fur Volkerkunde Dresden	Abh. Ber. Staatl. Mus. Voelkerkd. Dres.
Abhandlungen zur Geschichte der Medizin und der Naturwissenschaften	Abh. Gesch. Med. Naturwiss.
Aboriginal And Islander Health Worker Journal	Aborig. Isl. Health Work. J.
Abortion Review	Abortion Rev.
Abortion research notes / International Reference Center for Abortion Research	Abort. Res. Notes
Abr-Nahrain : an annual under the auspices of the Department of Semitic Studies, University of Melbourne	Abr. Nahain.
Abstracts - Society for Neuroscience. Society for Neuroscience	Abstr. Soc. Neurosci.
Abstracts and translations from the science library. Hartford. Institute of Living	Abstr. Translat. Sci. Library.
Abstracts of the ... General Meeting of the American Society for Microbiology. American Society for Microbiology. General Meeting	Abstr. Gen. Meet. Am. Soc. Microbiol.
Abstracts. International Congress on Tropical Medicine and Malaria (4th : 1948 : Washington, D. C.)	Abstr. Int. Congr. Trop. Med. Malar.
Academic emergency medicine : official journal of the Society for Academic Emergency Medicine	Acad. Emerg. Med.
Academic journal of Xian Jiaotong University : AJXJTU = Xi'an jiao tong da xue xue bao (Yi wen ban)	Acad. J. Xian Jiaotong Univ.
Academic medicine : journal of the Association of American Medical Colleges	Acad. Med.
Academic psychiatry : the journal of the American Association of Directors of Psychiatric Residency Training and the Association for Academic Psychiatry	Acad. Psychiatry
Academic psychology bulletin	Academic Psychol. Bull.
Academy news (Milwaukee, Wis.)	Acad. News
Academy of Management journal. Academy of Management	Acad. Manage. J.
Academy of management review. Academy of Management	Acad. Manage. Rev.
Academy review of the California Academy of Periodontology, United States Section, ARPA Internationale	Acad. Rev. Calif. Acad. Periodontol.
Acadiensis	Acadiensis
Acarologia	Acarologia
Accademia medica	Accad. Medica
Accademia nazionale dei Lincei. Fondazione Leone Caetani	Accad. Naz. Lincei. Rome.
Accademie e biblioteche d'Italia	Accad. Bibl. Ital.
Accao medica	Accao Med.
Accion sindical. Numero cientifico	Num. Cient. Accion Sind.
Accounts of chemical research	Acc. Chem. Res.
Acoustical science and technology / edited by the Acoustical Society of Japan	Acoust. Sci. Technol.
Acoustics Australia / Australian Acoustical Society	Acoust. Aust.
Acoustics research letters online : ARLO	Acoust. Res. Lett. Online
