# List created using the lists from:
# http://www.issn.org/2-22660-LTWA.php
-agoge	-ag
-aineisto	-ain
-Alfold	-Alf
-asema	-as
-baden	-bad
-band (book)	-bd
-bauten	-baut
-bearbeitung	-bearb
-bedrijven	-bedr
-berg	-b
-beskatning	-beskat
-betrieb	-betr
-bizottsag	-biz
-biral-	-bir
-blad	-bl
-boek	-b
-bog	-b
-bok	-b
-bolag	-bol
-book	-b
-borough	-brgh
-bourg	-bg
-bourne	-b
-brief	-br
-buch	-b
-burg	-bg
-business	-bus
-burger	-burg
-craft	-cr
-dannelse	-dann
-dienst	-d
-dorf	-d
-erwerbung	-erwerb
-erzsebet	-erzs
-feger	-feg
-felag-	-fel
-field	-f
-flache	-fl
-forschung	-forsch
-forsyning	-forsyn
-fortegnelse	-fortegn
-foring	-for
-frage	-fr
-framjande	-framj
-fuhrung	-fuhr
-genesis	-genes
-gericht	-ger
-gesprach	-gespr
-gewerbe	-gew
-grad	-gr
-graf-	-gr
-graph-	-gr
-ground	-gr
-group	-gr
-gruppe	-gr
-gre-	-gr
-handbuch	-handb
-handler	-handl
-heft	-h
-herberge	-herb
-hindringer	-hindr
-hoidj-	-hoid
-igazgat-	-ig
-innung	-inn
-intenziv	-intenz
-intez-	-int
-jalostus	-jal
-kassa	-k
-kasittely	-kas
-keskus	-k
-kepzes	-k
-kepzo	-k
-kirja	-k
-kirkon	-kirk
-klausur	-klaus
-kokoelma	-kok
-kokous	-kok
-krankheit-	-krankh
-kreis	-kr
-kunde	-kd
-kundlich	-kundl
-kunta	-kun
-laivasto	-laiv
-land	-l
-lap	-l
-lara	-l
-leben	-leb
-ledelse	-led
-lehti	-l
-leser	-les
-liikenne	-liik
-liitto	-l
-linie	-lin
-lond	-l
-meter	-m
-middel	-m
-midler	-m
-miklos	-mikl
-missbrauch	-missbr
-missbruk	-missbr
-mittel	-m
-mobil	-mob
-mutato	-mut
-mgling	mgl
-nap	-n
-namnd	-n
-nutzig-	-nutz
-nyttig	-nytt
-osztas	-oszt
-paatos	-paat
-padagogik	-padag
-pedagog-	-pedag
-pedagoog-	-pedag
-pflege	-pfl
-pfleger	-pfl
-pflichtig	-pflicht
-phas-	-ph
-plads-	-pl
-plane	-pl
-planung	-plan
-polis	-p
-pramierung	-pram
-preis	-pr
-program	-progr
-programm	-progr
-prver	-prv
-punkt	-pkt
-rajz	-r
-recht	-r
-reihe	-r
-rendez-	-rend
-seura	-s
-sfer	-s
-ship	-sh
-shire	-sh
-slozen-	-sloz
-slutning	-slut
-sokeri	-sok
-sopimus	-sop
-space	-sp
-sphere	-sph
-spraak	-spr
-sprache	-spr
-sprachig	-spr
-sprog	-spr
-stig-	-stig
-stoff	-st
-streek	-str
-stroenie	-str
-stuff	-st
-sinosi	-sin
-tanu	-t
-tabor	-tab
-teadus	-t
-technisch	-tech
-teelt-	-t
-teil	-tl
-terites	-terit
-tiede	-t
-tillade-	-tillad
-tjener	-tj
-ton	-t
-town	-t
-untergruppe	-untergr
-unterricht	-unterr
-verk	-v
-vermogen	-vermog
-vesen	-ves
-ville	-v
-visel-	-vis
-vizualis	-v
-vodstvo	-vod
-vonal	-v
-vuosi	-v
-vrende	-vr
-vsen	-vs
-way	-w
-weise	-w
-werk	-w
-wesen	-wes
-wissenschaft	-wiss
-yhtio	-y
-yksikko	-yks
-yritys	-yrit
-znanie	-zn
-jonusta	-jon
ndring	ndr
stetik	stet
ttbok	ttb
ttfri	ttfr
kologi	kol
konomi-	kon
konomiavdeling	konomiavd
kumenisk	kum
strig	str
velse	v
jominjasafns	jominjas
akovacki	akov
erdapsk-	erdap
ubrivo	ubr
urev-	urev
acinsk-	ac
ambinowic-	ambin
awnik	aw
acznosc	acz
akarsk-	ak
omzensis	omz
omzynsk-	omz
owick-	owic
owiec-	ow
ozyskow-	ozysk
odzk-	odz
uzyck-	uz
ykowy	yk
colog-	col
conom-	con
cumenique	cum
cumenisme	cum
nolog-	nol
nophi-	noph
Aachener	Aachen
aakkos-	aakkos
Aalborg	Aalb
Aalener	Aalen
aalmoezeniers	aalmoez
aanbesteding	aanbested
aanbeveling-	aanbevel
aanbiedingslijst	aanbiedingsl
aandachtsgebied	aandachtsgeb
aandeelhouder-	aandeelh
aandel-	aandel
aandoening-	aandoen
aandrijven	aandr
aandsvag-	aandsv
aangelegenh-	aangelegenh
aangenom-	aangen
aanhouden-	aanhoud
aankomende	aankom
aanleid-	aanleid
aannemer-	aannem
aanneming-	aannem
aanschafinformatie	aanschafinf
aanslagregeling	aanslagregel
aansluiten-	aansluit
aansprakelijkheid	aansprakelijkh
aanteekening-	aanteek
aantekenlijst	aantekenl
aantekenstrookjesverzamelaar	aantekenstrookjesverzamel
aanverwant-	aanverw
aanvullingsblad	aanvullingsbl
aanwending	aanwend
aanwinstenlijst	aanwinstenl
aanwyser	aanwys
aarbog	aarb
aarbok	aarb
aardappelverwerking-	aardappelverwerk
aardkundig-	aardkd
aardmagnet-	aardmagn
aardrijkskund-	aardrijkskd
aargauisch-	aargau
aarsberaettelse	aarsberaett
aarsberetning	aarsberet
aarsbok	aarsb
aastaaruanne	aastaaruan
aastaraam-	aastaraam
abandon-	abandon
abastecimento	abast
abatement	abat
abatido	abat
abbigliamento	abbigl
Abbildung-	Abbild
abbreviation	abbr
abderit-	abder
Abdichtung	Abdicht
abdominal	abdom
Abdruck	Abdr
abdrucken	abdr
abeced-	abeced
Abenberg-	Abenb
Abendland	Abendl
Abensberg	Abensb
Abenteuer	Abent
Abenteuerliche	Abenteuerl
Abeokuta	Abeok
Aberdeen	Aberd
abecedaire	abeced
Abfallaufbereitung-	Abfallaufbereit
Abfallbehandlung	Abfallbehandl
Abfallbeseitig-	Abfallbeseit
Abfallrecht	Abfallr
Abfallstoff-	Abfallst
Abfalltechni-	Abfalltech
abfallverwertung	abfallverwert
Abfallwirtschaft-	Abfallwirtsch
Abgabenordnung-	Abgabenordn
Abgasbelastung	Abgasbelast
Abgassonderuntersuch-	Abgassonderunters
abgedruckt	abgedr
abgelauf-	abgelauf
Abgeordnete	Abgeordn
